Name,dataTime,XAcc,YAcc,ZAcc,Acc,Shake,XOri,YOri,ZOri,XGyr,YGyr,ZGyr,Timestamp
칼만1,10.387,5.1281366,4.767638,4.675337,8.41943786484307,0,-7.564013,66.12177,274.17468,0.10262536,-0.29810223,-0.07452556,2017-02-20 16:03:33
칼만1,10.489,5.1058593,4.7406473,4.592152,8.344542949678695,0,-7.564013,66.12177,274.17468,0.10262536,-0.29810223,-0.07452556,2017-02-20 16:03:33
칼만1,10.609,5.0474415,4.709195,4.5450163,8.265008011087746,0,-7.74905,69.75674,273.3762,-0.034208454,-0.8222246,-0.111177474,2017-02-20 16:03:33
칼만1,10.728,5.007522,4.670796,4.3196387,8.096350467755611,0,-9.009209,74.715546,274.62894,0.06352998,-0.6609562,-0.2125811,2017-02-20 16:03:34
칼만1,10.848,4.796751,4.5099106,4.2243915,7.82263363914593,0,-9.009209,74.715546,274.62894,0.06352998,-0.6609562,-0.2125811,2017-02-20 16:03:34
칼만1,10.971,4.7262793,4.4386263,4.1090984,7.676184528275334,0,-10.090039,79.63433,275.84796,0.15271631,-0.60231316,0.008552114,2017-02-20 16:03:34
칼만1,11.089,4.6048717,4.32649,3.9525127,7.452899829982114,0,-10.399252,84.30557,275.50052,0.0061086523,-0.43860126,-0.036651913,2017-02-20 16:03:34
칼만1,11.209,4.551778,4.2631874,3.850136,7.329187944125453,0,-10.399252,84.30557,275.50052,0.0061086523,-0.43860126,-0.036651913,2017-02-20 16:03:34
칼만1,11.315,4.3924074,4.134009,3.709787,7.081369299765687,0,-9.716404,88.968956,273.66342,0.02321288,-0.7134906,-0.034208454,2017-02-20 16:03:34
칼만1,11.429,4.2399006,4.002614,3.5296247,6.815858459118359,0,-171.04465,85.97091,278.2869,-0.035430185,-0.42394048,-0.111177474,2017-02-20 16:03:34
칼만1,11.548,4.1306267,3.8590946,3.372427,6.582397118196138,0,-171.04465,85.97091,278.2869,-0.035430185,-0.42394048,-0.111177474,2017-02-20 16:03:34
칼만1,11.67,3.9339488,3.7068622,3.1711318,6.266806002075213,0,-171.98366,82.70332,283.09372,-0.065973446,-0.5290093,-0.07941248,2017-02-20 16:03:34
칼만1,11.789,3.7830045,3.5461342,3.1138346,6.048318547784715,0,-171.04735,81.6538,289.78818,0.087964594,0.72204274,0.052534413,2017-02-20 16:03:35
칼만1,11.909,3.7348015,3.483385,3.144057,5.997316797924781,0,-171.04735,81.6538,289.78818,0.087964594,0.72204274,0.052534413,2017-02-20 16:03:35
칼만1,12.011,3.823643,3.5824516,3.2867665,6.185227490492331,0,-172.43037,88.10434,275.89008,0.05497787,0.7635816,0.10751228,2017-02-20 16:03:35
칼만1,12.129,3.8912833,3.6447964,3.3661842,6.305380433166535,0,-7.10981,86.42768,271.9143,0.056199603,0.5045747,0.012217305,2017-02-20 16:03:35
칼만1,12.249,3.9203284,3.6747227,3.5044084,6.415094641506909,0,-7.10981,86.42768,271.9143,0.056199603,0.5045747,0.012217305,2017-02-20 16:03:35
칼만1,12.37,4.0442653,3.7713826,3.6765983,6.6405408818770795,0,-7.4456787,80.413345,272.08414,0.014660766,1.210735,0.13316862,2017-02-20 16:03:35
칼만1,12.489,4.175934,3.8830101,3.89809,6.907336389143116,0,-6.226827,69.977394,269.7148,0.021991149,0.4288274,-0.06352998,2017-02-20 16:03:35
칼만1,12.609,4.3738503,4.063239,4.096021,7.2400185275475115,0,-6.226827,69.977394,269.7148,0.021991149,0.4288274,-0.06352998,2017-02-20 16:03:35
칼만1,12.73,4.523573,4.19052,4.2884035,7.510896945615733,0,-6.3820977,63.938324,268.89136,-0.018325957,0.70005155,0.013439035,2017-02-20 16:03:36
